model_key,model_id,revision,local_directory,file_path,sha256,bytes
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,config.json,df92c371911b45282caac6101fe7e7f5d5e9af7f9a99356067ffe306278ce72b,1416
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,generation_config.json,4956fb9a7caaad7579cf8bb789c1e578b8a1cf48a0a8b779fda2f95dd10bbaa5,293
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,pytorch_model.bin,cc1de10b49342ad2f33e06bc4474ddd6eaca278474903c4a8636ce15680d64de,300827685
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,source.spm,173e9f493a668fe396d599e28d414a201193094e6ffd7a4678e5aab0f6d3d838,778395
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,target.spm,78d0e717c77053f1c4b856d8661d9cb87c64f083a35418c087b9146300e4f585,802397
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,tokenizer_config.json,3492a8555368d21fc116cac84bdf551aee16783413be3afbfe4823de045960cf,42
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,vocab.json,945c604346ce15ce4aff9001001e7f925e336d942c4087017f191871162cbdc4,1339166
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,config.json,98d2ff8cc47488d08a2b0b3acf4eb99ef210779b42bd48605f6b8e36acdbf670,660
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,generation_config.json,e558847a8b4402616f1273797b015104dc266fe4b520056fca88823ba8f8ebe6,242
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,merges.txt,599bab54075088774b1733fde865d5bd747cbcc7a547c5bc12610e874e26f5e3,1671839
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,model.safetensors,dd924a11b4c220f385b51ffa522daea7c9f3d850e31b162bb5661df483c6d3ee,3087467144
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,tokenizer.json,c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539,7031645
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,tokenizer_config.json,5b5d4f65d0acd3b2d56a35b56d374a36cbc1c8fa5cf3b3febbbfabf22f359583,7305
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,vocab.json,ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910,2776833
minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,sentence-transformers--all-MiniLM-L6-v2--1110a243fdf4706b3f48f1d95db1a4f5529b4d41,config.json,953f9c0d463486b10a6871cc2fd59f223b2c70184f49815e7efbcab5d8908b41,612
minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,sentence-transformers--all-MiniLM-L6-v2--1110a243fdf4706b3f48f1d95db1a4f5529b4d41,model.safetensors,53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db,90868376
minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,sentence-transformers--all-MiniLM-L6-v2--1110a243fdf4706b3f48f1d95db1a4f5529b4d41,tokenizer.json,be50c3628f2bf5bb5e3a7f17b1f74611b2561a3a27eeab05e5aa30f411572037,466247
minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,sentence-transformers--all-MiniLM-L6-v2--1110a243fdf4706b3f48f1d95db1a4f5529b4d41,tokenizer_config.json,acb92769e8195aabd29b7b2137a9e6d6e25c476a4f15aa4355c233426c61576b,350
minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,sentence-transformers--all-MiniLM-L6-v2--1110a243fdf4706b3f48f1d95db1a4f5529b4d41,vocab.txt,07eced375cec144d27c900241f3e339478dec958f92fddbc551f295c992038a3,231508
