task_number,symbol,title,item_type,group_id,group_name,stage,lesson_path,status,last_reviewed
1,Bit,Bits to character encoding,concept,1,Source data loading,source,1_source_data_loading/01-bits-to-character-encoding.html,available,2026-08-29
2,Typ,Manual examples and pattern matching,practice,1,Source data loading,source,1_source_data_loading/02-manual-typewriting.html,available,2026-08-29
3,Str,Loading a structured data file,practice,1,Source data loading,source,1_source_data_loading/03-loading-structured-datafile.html,available,2026-08-29
4,Cor,Generating a corpus,practice,1,Source data loading,source,1_source_data_loading/04-generating-a-corpus.html,available,2026-08-29
5,Api,Loading from an API,practice,1,Source data loading,source,1_source_data_loading/05-loading-from-api.html,available,2026-08-29
6,Scr,Collecting text from a web page,practice,1,Source data loading,source,1_source_data_loading/06-text-and-file-scraping.html,available,2026-08-29
7,Ext,Extracting text from an image,task,1,Source data loading,source,1_source_data_loading/07-text-extraction-and-ocr.html,available,2026-08-29
8,Man,Turning decisions into labels,practice,2,Training data generation,source,2_training_data_generation/08-manual-annotation.html,available,2026-08-29
9,Act,Choosing what to label next,practice,2,Training data generation,source,2_training_data_generation/09-annotation-with-active-learning.html,available,2026-08-29
10,Pro,Inspecting provider schemas and provenance,service,2,Training data generation,source,2_training_data_generation/10-training-data-providers.html,available,2026-08-29
11,Cro,Working with several annotators,service,2,Training data generation,source,2_training_data_generation/11-crowdsourcing-annotation.html,available,2026-08-29
12,Aug,Creating additional training examples,practice,2,Training data generation,source,2_training_data_generation/12-textual-data-augmentation.html,available,2026-08-29
13,Rul,Labeling text with written rules,practice,2,Training data generation,source,2_training_data_generation/13-rule-based-training-data.html,available,2026-08-29
14,Tok,Tokenization,method,3,Word parsing,language,3_word_parsing/14-tokenization.html,available,2026-08-29
15,Voc,Vocabulary building,practice,3,Word parsing,language,3_word_parsing/15-vocabulary-building.html,available,2026-08-29
16,Mor,Morphological tagging,method,3,Word parsing,language,3_word_parsing/16-morphological-tagging.html,available,2026-08-29
17,Pos,Part-of-speech tagging,method,3,Word parsing,language,3_word_parsing/17-part-of-speech-tagging.html,available,2026-08-29
18,Dep,Dependency parsing,method,3,Word parsing,language,3_word_parsing/18-dependency-parsing.html,available,2026-08-29
19,Ste,Stemming,method,4,Word processing,language,4_word_processing/19-stemming.html,available,2026-08-29
20,Lem,Lemmatization,method,4,Word processing,language,4_word_processing/20-lemmatization.html,available,2026-08-29
21,Nrm,Normalization,practice,4,Word processing,language,4_word_processing/21-normalization.html,available,2026-08-29
22,Spl,Spell checking,task,4,Word processing,language,4_word_processing/22-spell-checking.html,available,2026-08-29
23,Neg,Negation recognition,task,4,Word processing,language,4_word_processing/23-negation-recognition.html,available,2026-08-29
24,Ngr,N-grams,method,5,Phrases and entities,language,5_phrases_and_entities/24-n-grams.html,available,2026-08-29
25,Phr,Rule-based phrase matching,method,5,Phrases and entities,language,5_phrases_and_entities/25-rule-based-phrase-matching.html,available,2026-08-29
26,Chu,Dependency noun chunks,method,5,Phrases and entities,language,5_phrases_and_entities/26-dependency-noun-chunks.html,available,2026-08-29
27,Ner,Named entity recognition,task,5,Phrases and entities,language,5_phrases_and_entities/27-named-entity-recognition.html,available,2026-08-29
28,Abr,Abbreviation finding,task,5,Phrases and entities,language,5_phrases_and_entities/28-abbreviation-finding.html,available,2026-08-29
29,Pri,Price parsing,task,6,Entity enrichment,language,6_entity_enrichment/29-price-parsing.html,available,2026-08-29
30,Geo,Geocoding,task,6,Entity enrichment,language,6_entity_enrichment/30-geocoding.html,available,2026-08-29
31,Tmp,Temporal parsing,task,6,Entity enrichment,language,6_entity_enrichment/31-temporal-parsing.html,available,2026-08-29
32,Nel,Named entity linking,task,6,Entity enrichment,language,6_entity_enrichment/32-named-entity-linking.html,available,2026-08-29
33,Crf,Coreference resolution,task,6,Entity enrichment,language,6_entity_enrichment/33-coreference-resolution.html,available,2026-08-29
34,Anm,Text de-identification,task,6,Entity enrichment,language,6_entity_enrichment/34-text-de-identification.html,available,2026-08-29
35,Sen,Sentence segmentation,practice,7,Sentences and paragraphs,language,7_sentences_and_paragraphs/35-sentence-segmentation.html,available,2026-08-29
